work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,company_location,company_size
2,2,2,4,128000,84,77,1
2,2,2,4,94000,84,77,1
2,3,2,168,213600,84,77,0
2,3,2,168,128600,84,77,0
2,3,2,194,261500,84,77,0
2,3,2,194,151300,84,77,0
2,3,2,0,114000,84,77,1
2,3,2,0,92000,84,77,1
2,3,2,97,210000,84,77,1
2,3,2,97,170000,84,77,1
2,3,2,141,180000,84,77,1
2,3,2,141,144000,84,77,1
2,3,2,141,310270,84,77,1
2,3,2,141,239080,84,77,1
2,3,2,211,237600,84,77,0
2,3,2,211,110900,84,77,0
2,3,2,223,283780,84,77,1
2,3,2,223,233840,84,77,1
2,3,2,191,225000,84,77,1
2,3,2,191,140000,84,77,1
2,3,2,191,180000,84,77,1
2,3,2,191,110000,84,77,1
2,3,2,194,250000,84,77,1
2,3,2,194,180000,84,77,1
2,3,2,211,310000,84,77,1
2,2,2,169,310000,84,77,1
2,2,2,253,250000,84,77,1
2,2,2,253,160000,84,77,1
2,2,2,168,225000,84,77,1
2,3,0,96,130760,12,11,1
2,3,0,96,90960,12,11,1
2,2,2,38,92000,12,11,1
2,2,2,38,62000,12,11,1
2,3,2,38,113000,12,11,1
2,3,2,38,75000,12,11,1
2,2,2,205,264200,84,77,1
2,2,2,205,143100,84,77,1
2,0,2,84,75000,84,77,1
2,0,2,84,65000,84,77,1
2,3,2,97,196900,84,77,1
2,3,2,97,192036,84,77,1
2,2,2,97,170000,84,77,1
2,2,2,97,135000,84,77,1
2,3,2,97,150000,84,77,1
2,3,2,97,140000,84,77,1
2,2,2,97,106250,31,29,1
2,2,2,97,68750,31,29,1
2,2,2,97,120000,12,11,1
2,2,2,97,85000,12,11,1
2,0,2,97,34666,77,72,1
2,0,2,97,21333,77,72,1
2,2,3,97,51450,4,5,1
2,2,3,97,51450,4,5,1
2,3,2,120,196747,84,77,1
2,3,2,120,124488,84,77,1
2,2,2,120,110000,84,77,1
2,2,2,120,83500,84,77,1
2,3,2,169,284000,84,77,1
2,3,2,169,189000,84,77,1
2,2,2,205,264200,84,77,1
2,2,2,205,143100,84,77,1
2,3,2,266,250200,84,77,1
2,3,2,266,117200,84,77,1
2,3,2,112,234000,84,77,0
2,3,2,112,156000,84,77,0
2,0,2,133,80000,12,11,1
2,0,2,133,50000,12,11,1
2,2,2,141,223000,84,77,1
2,2,2,141,150000,84,77,1
2,3,2,141,34733,4,5,1
2,3,2,141,34733,4,5,1
2,3,2,141,77777,4,5,1
2,3,2,141,77777,4,5,1
2,3,2,141,151220,84,77,1
2,3,2,141,86390,84,77,1
2,2,2,141,205500,84,77,1
2,2,2,141,136300,84,77,1
2,2,2,141,150000,84,77,1
2,2,2,141,100000,84,77,1
2,3,2,236,314400,84,77,1
2,3,2,236,161600,84,77,1
2,3,2,4,250200,84,77,1
2,3,2,4,117200,84,77,1
2,3,2,65,114586,84,77,1
2,3,2,65,107571,84,77,1
2,1,2,3,211800,84,77,1
2,2,2,224,85000,84,77,1
2,2,2,224,70000,84,77,1
2,3,2,253,220000,84,77,1
2,3,2,253,150000,84,77,1
2,3,2,245,222800,84,77,1
2,3,2,245,107100,84,77,1
2,3,2,245,222800,84,77,1
2,3,2,245,107100,84,77,1
2,3,2,245,172400,12,11,1
2,3,2,245,93800,12,11,1
2,3,2,236,294000,84,77,1
2,3,2,236,137600,84,77,1
2,3,2,36,314400,84,77,1
2,3,2,36,161600,84,77,1
2,3,2,211,294000,84,77,1
2,3,2,211,137600,84,77,1
2,0,2,251,52500,84,77,1
2,0,2,251,43000,84,77,1
2,2,2,223,180000,84,77,1
2,2,2,223,137510,84,77,1
2,2,2,160,150000,84,77,1
2,2,2,160,111662,84,77,1
2,2,2,266,200200,84,77,1
2,2,2,266,178360,84,77,1
2,3,2,267,268900,84,77,1
2,3,2,267,129200,84,77,1
2,3,2,267,168400,12,11,1
2,3,2,267,91000,12,11,1
2,0,2,84,114400,84,77,1
2,0,2,84,76800,84,77,1
2,2,2,84,90000,84,77,1
2,2,2,84,80000,84,77,1
2,0,2,84,99200,84,77,1
2,0,2,84,55600,84,77,1
2,3,2,26,278400,84,77,1
2,3,2,26,185600,84,77,1
2,2,2,141,195655,84,77,1
2,2,2,141,156523,84,77,1
